data,yhat_model_1_to_7,yhat_model_2_to_8,yhat_model_3_to_9,yhat_model_4_to_10,yhat_model_5_to_11,yhat_model_6_to_12,yhat_model_7_to_13,yhat_model_8_to_14,yhat_model_9_to_15,yhat_model_10_to_16,yhat_model_11_to_17,yhat_model_12_to_18,yhat_model_13_to_19,yhat_model_14_to_20,yhat_model_15_to_21,yhat_model_16_to_22,yhat_model_17_to_23,yhat_model_18_to_24,yhat_model_19_to_25,yhat_model_20_to_26,yhat_model_21_to_27,yhat_model_22_to_28,yhat_model_23_to_29,yhat_model_24_to_30,yhat_model_25_to_31,yhat_model_26_to_32,yhat_model_27_to_33,yhat_model_28_to_34,yhat_model_29_to_35,yhat_model_30_to_36,yhat_model_31_to_37,yhat_model_32_to_38,yhat_model_33_to_39,yhat_model_34_to_40,yhat_model_35_to_41,yhat_model_36_to_42,yhat_model_37_to_43,yhat_model_38_to_44,yhat_model_39_to_45,yhat_model_40_to_46,yhat_model_41_to_47,yhat_model_42_to_48,yhat_model_43_to_49,yhat_model_44_to_50,yhat_model_45_to_51,yhat_model_46_to_52,yhat_model_47_to_53,yhat_model_48_to_54,yhat_model_49_to_55,yhat_model_50_to_56,yhat_model_51_to_57,yhat_model_52_to_58,yhat_model_53_to_59,yhat_model_54_to_60,yhat_model_55_to_61,yhat_model_56_to_61,yhat_model_57_to_61,yhat_model_58_to_61,yhat_model_59_to_61,yhat_model_60_to_61
08/04/2020,,,,,,,,,,,,,,,,,,,,,,10025.936581869895,44398.27453671323,6028.335419079086,29087.34032704627,6495.616672696205,3215.740058921803,2705.14642138614,7811.187751819298,6612.576722294352,6752.928446952892,4815.341637239405,5388.896516141099,14372.785615819284,7151.363784816521,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2020,,,,,,,,,,,,,,,,,,,,,,,59093.85833455072,6973.526501305884,38233.24708039013,7560.936476872474,3512.4573735090776,2905.6639014434163,9359.7446507802,7671.323706664033,7791.751914590931,5156.519523551866,5842.501961619937,20831.959625496293,8815.298518913854,606722931398605.5,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2020,,,,,,,,,,,,,,,,,,,,,,,,8066.9154059520515,50254.893224147854,8800.975071019933,3836.5528850782935,3121.0446286397946,11215.300759785807,8899.587843573148,8990.380747470543,5521.87063761798,6334.2892314392075,30193.90627803296,10866.387211702802,700150300223860.5,53172427528347.98,,,,,,,,,,,,,,,,,,,,,,,
11/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,66056.49495739171,10244.387376833763,4190.55278820298,3352.3903329364484,13438.718237037292,10324.510712104626,10373.398289687773,5913.107707499774,6867.472245811935,43763.140516595486,13394.710432246009,807964257710745.8,60481836321662.54,174164865327.7733,,,,,,,,,,,,,,,,,,,,,,
12/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,11924.527893756293,4577.216370199312,3600.8844094176557,16102.925077323369,11977.579559635595,11969.169615733206,6332.064811930532,7445.535453751541,63430.43030734517,16511.308134730512,932380149704075.4,68796041386114.06,191507487688.71646,49021507.63214058,,,,,,,,,,,,,,,,,,,,,
13/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,4999.557518664471,3867.797971672811,19295.30714701971,13895.323091602077,13810.423285550234,6780.705978285343,8072.256604586687,91936.26054897146,20353.056357509086,1075954456234645.0,78253168194642.88,210577017194.7273,51492653.2763951,645047724.5043734,,,,,,,,,,,,,,,,,,,,
14/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,4154.496353882035,23120.574436636158,16120.11866493368,15934.922592738654,7261.134389737355,8751.7314362476,133252.69847254377,25088.67860206657,1241637321706839.8,89010329796898.16,231545412170.54004,54088367.933111295,686892828.0059121,434355363593074.9,,,,,,,,,,,,,,,,,,,
15/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27704.195543868278,18701.128722123336,18386.240072905635,7775.602244761978,9488.400441666356,193136.8705251664,30926.1559021609,1432833174045730.8,101246236968268.39,254601753844.9952,56814931.05364476,731452479.0060872,498532544709921.6,11636.97970150669,,,,,,,,,,,,,,,,,,
16/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21695.387158793303,21214.651156985725,8326.521315209322,10287.077888214484,279933.1734654575,38121.86102164742,1653470678397258.2,115164167166044.8,279953951379.5426,59678938.63283607,778902773.8102187,572192078115534.2,13397.363027917883,10921.865915416809,,,,,,,,,,,,,,,,,
17/04/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24478.16529796193,8916.47425244004,11152.983279825252,405736.0015897689,46991.817940497946,1908083462780176.5,130995341616552.14,307830616676.4842,62687319.1657835,829431232.3250788,656735007036859.1,15424.048224349981,11986.369306839286,11775.325824924688,,,,,,,,,,,,,,,,
